year,rank,title,artist,url,lyrics
1990,10,Blaze of Glory,Jon Bon Jovi,https://genius.com/Jon-bon-jovi-blaze-of-glory-lyrics,"[Verse 1]
I wake up in the morning and I raise my weary head
I've got an old coat for a pillow, and the earth was last night's bed
I don't know where I'm goin', only God knows where I've been
I'm a devil on the run, a six gun lover, a candle in the wind
Yeah
[Verse 2]
When you're brought into this world, they say you're born in sin
Well, at least they gave me somethin', I didn't have to steal or have to win
Well, they tell me that I'm wanted, yeah, I'm a wanted man
I'm a colt in your stable, I'm what Cain was to Abel, Mr. Catch-Me-If-You-Can
[Chorus]
I'm goin' down in a blaze of glory
Take me now but know the truth
I'm goin' out in a blaze of glory
And, Lord, I never drew first, but I drew first blood
I'm no one's son, call me young gun
[Verse 3]
You ask about my conscience and I offer you my soul
You ask If I'll grow to be a wise man, well I ask if I'll grow old
You ask me if I've known love and what it's like to sing songs in the rain
Well, I've seen love come, I've seen it shot down, I've seen it die in vain"
1990,11,Do Me!,Bell Biv DeVoe,https://genius.com/Bell-biv-devoe-do-me-lyrics,"[Verse 1]
Take a 
good
 look at me
Tell me do you like what you see
Do you think you can
Do you think you can do me
Kiss me pretty baby
And touch me all over
Girl what makes you think you can do me
Do you think you can do me girl?
[Hook]
Do me baby
(oh)
Do me baby
(do you think you can)
Do me baby
(do me)
Do me baby
(oh yeah)
[Verse 2]
Girl let your hair down
Take off your clothes and leave on your shoes
Would you mind if I look at you for a moment
Before I make sweet love
Backstage,
 under age, adolescent
""How ya doin'?"" ""Fine,"" she replied
I sighed, I like to do the wild thing
Action took place
Kinda wet
Don't forget
The J the I the M the M the Y y'all
I need a body bag"
1990,12,How Am I Supposed to Live Without You,Michael Bolton,https://genius.com/Michael-bolton-how-am-i-supposed-to-live-without-you-lyrics,"[Verse 1]
I could hardly believe it, when I heard the news today
I had to come and get it straight from you
They said you were leavin', someone's swept your heart away
From the look upon your face, I see it's true
[Pre-Chorus]
So tell me all about it, tell me 'bout the plans you're makin'
Oh, then tell me one thing more before I go
[Chorus]
Tell me, how am I supposed to live without you
Now that I've been loving you so long?
How am I supposed to live without you?
And how am I supposed to carry on
When all that I've been livin' for is gone?
[Verse 2]
I'm too proud for cryin', didn't come here to break down
It's just a dream of mine is coming to an end
And how can I blame you when I built my world around
The hope that one day we'd be so much more than friends?
[Pre-Chorus]
I don't wanna know the price I'm gonna pay for dreaming, oh
Even now, it's more than I can take"
1990,13,Pump Up the Jam,Technotronic,https://genius.com/Technotronic-pump-up-the-jam-lyrics,"[Pre-Chorus]
Pump up the jam, pump it up
While your feet are stomping
And the jam is pumping
Look ahead, the crowd is jumpin'
Pump it up a little more
Get the party goin' on the dance floor
See, 'cause that's where the party's at
And you'd find out if you do that
[Chorus]
Awa, a place to stay
Get your booty on the floor tonight
Make my day
Awa, a place to stay
Get your booty on the floor tonight
Make my day
[Post-Chorus]
Make my day
Make my day
Make my day
Make my day
[Pre-Chorus]
Yo, pump up the jam, pump it up
While your feet are stomping
And the jam is pumping
Look ahead, the crowd is jumpin'
Pump it up a little more
Get the party goin' on the dance floor
See, 'cause that's where the party's at
And you'd find out if you do that"
1990,14,Opposites Attract,Paula Abdul,https://genius.com/Paula-abdul-opposites-attract-lyrics,"[Verse 1: Paula Abdul, 
The Wild Pair
, 
Both
]
Baby, it seems we never ever agree
You like the movies and I like TV
I take things serious and you take 'em light
I go to bed early 
and I party all night
Our friends are saying
 
we ain't gonna last
'Cause I move slowly 
and baby, I'm fast
I like it quiet 
and I love to shout
But when we get together, it just all works out
[Chorus: Paula Abdul, 
The Wild Pair
, 
Both
]
I take two steps forward, 
I take two steps back
We come together
 'cause opposites attract
And you know it ain't fiction, 
just a natural fact
We come together
 'cause opposites attract
[Verse 2: Paula Abdul, 
The Wild Pair
, 
Both
]
Who'd-a thought 
we could be lovers?
She makes the bed
 and he steals the covers
She likes it neat
 and he makes a mess
I take it easy, 
baby, I get obsessed
She's got the money
 and he's always broke
I don't like cigarettes 
and I like to smoke
Things in common?
 
There just ain't a one!
But when we get together, we have nothin' but fun"
1990,15,Escapade,Janet Jackson,https://genius.com/Janet-jackson-escapade-lyrics,"[Verse 1]
As I was walkin' by
Saw you standin' there with a smile
Lookin' shy you caught my eye
Thought you'd want to hang for a while
Well I'd like to be with you
And you know it's Friday too
I hope you can find the time
This weekend to relax and unwind
My mind's tired
I've worked so hard all week
Ooh all week
I cashed my check I'm ready to go
I promise you I'll show you such a good time
[Chorus]
Come on, baby, let's get away
Let's save our troubles for another day
Come go with me we've got it made
Let me take you on an escapade
Let's go
[Refrain]
Es-ca-pade
We'll have a good time
Es-ca-pade
Leave your worries behind
Es-ca-pade
Well you can be mine
Es-ca-pade
An escapade"
1990,16,All I Wanna Do Is Make Love to You,Heart,https://genius.com/Heart-all-i-wanna-do-is-make-love-to-you-lyrics,"[Verse 1]
It was a rainy night
When he came into sight
Standing by the road
With no umbrella, no coat
So I pulled up along side
And I offered him a ride
He accepted with a smile
So we drove for a while
[Pre-Chorus 1]
I didn't ask him his name
This lonely boy in the rain
Fate, tell me it's right
Is this love at first sight?
Please don't make it wrong
Just stay for a night
[Chorus]
All I wanna do is make love to you
Say you will, you want me too
All I wanna do is make love to you
I got loving arms to hold onto
[Verse 2]
So we found this hotel
It was a place I knew well
We made magic that night
Oh, he did everything right
He brought the woman out of me
So many times, easily
And in the morning, when he woke
All I left him was a note"
1990,17,Close to You,Maxi Priest,https://genius.com/Maxi-priest-close-to-you-lyrics,"[Verse 1]
She was a Jezebel
Miss Brixton queen
Living her life like a bad sweet dream
Telling me lies when the truth was clear
I think she knew what I wanted to hear
Spinning around
Like a wheel on fire
Walking the tightrope on love's highwire
A fatal attraction is where I'm at
There's no escaping me
[Chorus]
I just wanna be close to you
And do all the things you want me to
I just wanna be close to you
And show you the way I feel
[Verse 2]
I feel love
When I'm lying in the midnight hour
Holding you's just like a dream
Love is never what it seems
When we touch
And you're holding me the way you feel
Girl, you make my dreams come true
You make my dreams come true"
1990,18,Black Velvet,Alannah Myles,https://genius.com/Alannah-myles-black-velvet-lyrics,"[Intro: Whispered]
[?]
[Verse 1]
Mississippi
 
in the middle of a dry spell
Jimmie Rodgers
 
on the Victrola up high
Mama's dancin' with baby on her shoulder
The sun is settin' like molasses in the sky
[Pre-Chorus]
The boy could sing, knew how to move, everything
Always wanting more, he'd leave you longing for
[Chorus]
Black velvet
 and that little boy's smile
Black velvet
 with that slow southern style
A new religion that'll bring ya to your knees
Black velvet if you please
[Verse 2]
Up in Memphis
, the music's like a heatwave
White lightning
, bound to drive you wild
Mama's baby's in the heart of every schoolgirl
""Love Me Tender"" leaves 'em cryin' in the aisle
[Pre-Chorus]
The way he moved, it was a sin
, so sweet and true
Always wanting more, he'd leave you longing for"
1990,19,Release Me,Wilson Phillips,https://genius.com/Wilson-phillips-release-me-lyrics,"[Intro]
I know that it's time for a change
Mmm but when that change comes
Will it still feel the same?
[Verse 1]
How many times have I tried
To turn this love around?
I don't wanna give up but, baby
It's time I had two feet on the ground
[Pre-Chorus]
Can you release me?
Can you release me?
[Verse 2]
Now that you're gone
I can't help myself from wondering
Ohh, if you'd have come down from your high
Would we've been all right?
[Pre-Chorus]
Release me
Can you release me?
[Chorus]
Come on, baby, come on, baby
You knew it was time to just let go
'Cause we wanna be free
But somehow it's just not that easy
Come on, darlin', hear me, darlin'
'Cause you're a waste of time for me
I'm trying to make you see
That baby, you've just got to release me
Release me, release me"
